States,Rainfall,Ground Water,Temperature,Soil type,Season,Crop
Chhattisgarh,130.4,5,27.5,Alluvial,Kharif,Millet Nandi-61 (MH-1548)
Chhattisgarh,130.4,5,27.5,Sandy,Kharif,Millet Nandi-61 (MH-1548)
Chhattisgarh,130.4,5,28.5,Alluvial,Kharif,Millet 86M64 (MSH 203) (Hybrid)
Chhattisgarh,130.4,5,28.5,Sandy,Kharif,Millet 86M64 (MSH 203) (Hybrid)
Chhattisgarh,130.4,5,26,Sandy,Kharif,Groundnut GPBD 5
Chhattisgarh,130.4,5,20.5,Clayey,Rabi,Lentil Pant Lentil-7(Pant L-024)
Chhattisgarh,130.4,5,20.5,Sandy,Rabi,Lentil Pant Lentil-7(Pant L-024)
Goa,295,13,21.5,Sandy,Kharif,Coffee
Goa,295,13,30,Black,Kharif,Clove
Goa,295,13,30,Clayey,Kharif,Clove
Goa,295,13,30,Latterite,Kharif,Clove
Goa,295,13,28.5,Alluvial,Rabi,Banana
Goa,295,13,28.5,Black,Rabi,Banana
Goa,295,13,28.5,Clayey,Rabi,Banana
Goa,295,13,30,Clayey,Zaid,Moong
Goa,295,13,30,Sandy,Zaid,Moong
Goa,295,13,29.5,Clayey,Kharif,Jowar
Goa,295,13,24,Clayey,Kharif,Masoor
Goa,295,13,24,Red,Kharif,Masoor
Goa,295,13,24,Sandy,Kharif,Masoor
Goa,295,13,18.5,Clayey,Rabi,Barley Pusa Losar (BH- 380)
Goa,295,13,22.5,Clayey,Kharif,Maize DHM 119 (BH 4062)
Goa,295,13,22.5,Sandy,Kharif,Maize DHM 119 (BH 4062)
Goa,295,13,30.5,Alluvial,Kharif,Millet HHB 226 (MH 1479)
Goa,295,13,30.5,Sandy,Kharif,Millet HHB 226 (MH 1479)
Goa,295,13,23.5,Sandy,Kharif,Soyabean
Gujarat,115.7,35,22.5,Alluvial,All Season,Oilseed
Gujarat,115.7,35,22.5,Black,All Season,Oilseed
Gujarat,115.7,35,22.5,Clayey,All Season,Oilseed
Gujarat,115.7,35,25,Alluvial,Kharif,Tea
Gujarat,115.7,35,25,Latterite,Kharif,Tea
Gujarat,115.7,35,30,Alluvial,Kharif,Jute
Gujarat,115.7,35,30,Clayey,Kharif,Jute
Gujarat,115.7,35,30,Sandy,Kharif,Jute
Gujarat,115.7,35,30,Alluvial,Kharif,Paddy Chinsurah Rice (IET 19140)
Gujarat,115.7,35,30,Clayey,Kharif,Paddy Chinsurah Rice (IET 19140)
Gujarat,115.7,35,30.5,Alluvial,Kharif,Paddy (CNI 383-5-11)
Gujarat,115.7,35,30.5,Clayey,Kharif,Paddy (CNI 383-5-11)
